,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedElo,BlueElo
0,Neil Magny,Carlos Prates,550.0,-800.0,550.0,12.5,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,5,0,4,0,4.39,0.57,0.0,0.44,1.0,4,0,7,0,0,0,0,4,0,0,4,Switch,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,Orthodox,190.5,203.2,170,37,31,-1,4,-3,-18,-11,-81,0,-2,-2,-5.08,-5.08,-6,0.96,-0.2,-1.68,,,15.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,1.0,4:50,290.0,1100.0,800.0,1600.0,800.0,2000.0,-400.0,1126.3224803753974,1064.2878679012254
1,Gerald Meerschaert,Reinier de Ridder,250.0,-310.0,250.0,32.2581,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,0,0,3.24,0.57,1.3,6.39,0.38,0,0,0,0,0,0,0,0,0,0,0,Southpaw,193.04,198.12,185,0,2,0,3.1,0.45,1.5,2.01,0.35,3,9,43,0,0,0,0,1,11,0,12,Southpaw,185.42,195.58,185,36,34,0,-2,-3,-12,-9,-43,0,-1,-11,7.62,2.54,-2,0.14,-0.2,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,3.0,1:44,704.0,700.0,200.0,600.0,165.0,1400.0,450.0,1053.7669854886954,1000.0
2,Gaston Bolanos,Cortavious Romious,205.0,-250.0,205.0,40.0,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.1,0.37,1.0,1.97,0.66,1,1,4,0,0,0,1,0,0,0,1,Southpaw,162.56,172.72,135,1,0,0,3.74,0.5,0.0,0.78,1.0,1,1,5,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,135,32,30,-1,1,0,0,0,-1,0,0,0,-7.62,-2.54,-2,-1.64,1.0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,550.0,275.0,3000.0,165.0,380.0,450.0,997.7364929751936,1000.0
3,Luana Pinheiro,Gillian Robertson,360.0,-470.0,360.0,21.2766,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,2.89,0.48,1.0,2.68,0.39,2,6,37,0,0,0,2,2,7,0,11,Orthodox,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,0,1,1,1,0,0,4,Orthodox,157.48,157.48,115,31,29,-2,2,-2,7,4,24,0,1,7,7.62,2.54,-2,-0.53,0.8,0.88,,14.0,13.0,,,13.0,,,,,,,,,,,,,14.0,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,600.0,250.0,2200.0,110.0,900.0,500.0,1009.6215762024146,1068.5024377017692
4,Mansur Abdul-Malik,Dusko Todorovic,-485.0,370.0,20.6186,370.0,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,5.35,0.57,0.0,0.92,0.12,2,4,14,0,0,0,1,3,0,0,4,Orthodox,185.42,187.96,185,0,1,0,6.61,0.54,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,187.96,200.66,185,27,30,1,-1,1,3,4,12,0,2,0,-2.54,-12.7,3,-1.26,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,2:44,164.0,600.0,,800.0,,-250.0,,1000.0,976.7514012618756
5,Karolina Kowalkiewicz,Denise Gomes,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,4.55,0.5,0.9,0.72,0.25,2,2,15,0,0,1,1,2,0,0,4,Orthodox,157.48,160.02,115,1,0,0,5.54,0.43,0.2,0.31,0.22,4,8,46,1,0,2,6,0,1,0,9,Orthodox,160.02,162.56,115,39,24,-1,1,-2,-5,-6,-31,-1,2,-1,-2.54,-2.54,-15,-0.99,0.7,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,1026.351098080602,1022.2960271405917
6,Elizeu Zaleski dos Santos,Zachary Scroggin,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,2.4,0.37,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,170,1,0,1,4.33,0.41,0.5,0.7,0.2,7,4,40,0,0,2,4,3,1,0,10,Orthodox,180.34,185.42,170,37,28,-1,0,-7,-10,-4,-40,0,-3,-1,10.16,2.54,-9,-1.93,-0.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:15,75.0,,,,,,,1101.711438836724,1000.0
7,Matthew Semelsberger,Charles Radtke,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,3.38,0.53,0.0,0.59,0.12,2,1,5,0,0,0,1,1,0,0,2,Orthodox,175.26,182.88,170,3,0,0,3.77,0.42,0.4,1.01,0.57,2,5,26,0,0,0,3,2,0,0,5,Switch,185.42,190.5,170,31,34,-2,0,0,-3,-4,-21,0,-1,0,-10.16,-7.62,3,-0.39,-0.4,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,0:51,51.0,,,,,,,996.6110866984754,1015.9639229201769
8,Cody Stamann,Da'Mon Blackshear,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,2,0,1,4.3,0.47,1.4,2.17,0.37,2,3,13,0,0,0,0,1,1,0,2,Switch,177.8,182.88,135,2,0,1,4.32,0.46,0.0,2.17,0.37,3,6,37,0,0,2,4,1,0,0,7,Orthodox,167.64,162.56,135,35,30,0,0,-1,-5,-3,-24,0,0,1,10.16,20.32,-5,-0.02,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:19,259.0,,,,,,,1016.4324603377021,988.7849709509509
9,Tresean Gore,Antonio Trocoli,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,1.29,0.5,0.8,0.84,0.11,0,1,4,0,0,0,0,0,0,0,0,Orthodox,198.12,200.66,185,0,1,0,3.0,0.54,1.7,3.46,0.75,1,2,6,0,0,0,0,0,1,0,1,Switch,182.88,190.5,185,30,33,1,-1,-1,-1,-1,-2,0,0,-1,15.24,10.16,3,-1.71,-0.9,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1.0,1:23,83.0,,,,,,,983.3215672809091,981.2628456721327
10,Melissa Mullins,Klaudia Sygula,,,,,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,1.89,0.37,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,1,0,0,3.43,0.56,0.0,1.53,0.37,1,1,5,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,33,25,-1,0,-1,-1,-1,-5,0,0,0,2.54,2.54,-8,-1.54,0.0,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,1:20,380.0,,,,,,,1001.3220620770703,1000.0
11,Brandon Moreno,Amir Albazi,-180.0,150.0,55.5556,150.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Flyweight,MALE,5,0,5,0,2.72,0.34,0.5,1.39,0.32,5,0,13,0,0,1,1,1,2,0,5,Orthodox,165.1,172.72,125,2,0,2,3.99,0.43,0.4,1.59,0.46,3,5,53,6,0,1,2,3,3,0,9,Orthodox,170.18,177.8,125,30,31,-2,5,2,-4,-5,-40,-6,-2,-1,-5.08,-5.08,1,-1.27,0.1,-0.2,,3.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,Red,U-DEC,,5.0,5:00,1500.0,130.0,215.0,800.0,1100.0,400.0,1600.0,1084.5274211894794,1094.0893132538479
12,Erin Blanchfield,Rose Namajunas,-155.0,130.0,64.5161,130.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,0,2,0,3.71,0.42,0.4,1.46,0.5,3,5,52,7,0,2,4,2,3,0,11,Orthodox,165.1,165.1,125,1,0,0,5.24,0.44,0.8,1.86,0.31,6,1,19,0,0,0,3,0,3,0,6,Orthodox,162.56,167.64,125,25,32,-1,2,-3,5,4,33,7,2,0,2.54,-2.54,7,-1.53,-0.4,-0.4,,5.0,3.0,3.0,,,,,,,,,,,,7.0,5.0,,,,,,,,,,,,6.0,Red,U-DEC,,5.0,5:00,1500.0,140.0,180.0,450.0,1600.0,1600.0,650.0,1099.4875225203186,1123.9516775213315
13,Caio Machado,Brendson Ribeiro,-192.0,160.0,52.0833,160.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Light Heavyweight,MALE,3,2,0,0,3.16,0.42,0.4,1.27,0.5,1,2,5,0,0,0,0,1,0,0,1,Orthodox,190.5,205.74,205,2,0,0,5.82,0.53,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,Southpaw,193.04,198.12,250,30,28,0,0,0,0,0,-4,0,1,0,-2.54,7.62,-2,-2.66,0.4,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,300.0,500.0,800.0,600.0,200.0,350.0,962.5109031680026,961.1500225556907
14,Ariane da Silva,Jasmine Jasudavicius,190.0,-250.0,190.0,40.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.7,0.44,0.6,2.5,0.43,2,2,24,0,0,0,5,0,1,0,6,Orthodox,170.18,172.72,125,1,0,0,4.04,0.41,0.3,0.52,0.55,3,6,29,0,0,1,3,0,2,0,6,Orthodox,167.64,170.18,125,30,35,-1,2,-1,0,-4,-5,0,0,-1,2.54,2.54,5,-0.34,0.3,1.98,,14.0,13.0,13.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,Red,SUB,D'Arce Choke,3.0,2:28,748.0,300.0,-110.0,2000.0,450.0,800.0,750.0,1042.7039364984555,1056.9343599768474
15,Marc-Andre Barriault,Dustin Stoltzfus,-270.0,220.0,37.037,220.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Middleweight,MALE,3,1,0,0,3.47,0.44,1.1,2.31,0.41,1,5,17,0,0,0,1,1,1,0,3,Orthodox,182.88,190.5,185,2,0,0,5.98,0.47,0.1,0.21,0.25,2,7,31,0,0,0,2,2,1,0,5,Orthodox,185.42,187.96,185,34,32,-1,0,-1,-2,-2,-14,0,-1,0,-2.54,2.54,-2,-2.51,1.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:28,268.0,150.0,350.0,1800.0,800.0,225.0,800.0,994.4563527939941,955.3276446373736
16,Mike Malott,Trevin Giles,-375.0,295.0,26.6667,295.0,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Welterweight,MALE,3,2,0,0,3.17,0.54,0.3,1.07,0.5,3,6,32,0,0,2,2,3,0,0,7,Orthodox,182.88,187.96,170,1,0,0,3.85,0.46,0.8,2.27,0.56,4,1,8,0,0,0,0,1,3,0,4,Orthodox,185.42,185.42,170,32,32,1,0,-1,3,5,24,0,2,-3,-2.54,2.54,0,-0.68,-0.5,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,275.0,550.0,215.0,2000.0,240.0,650.0,1042.305091745392,1010.4991385806879
17,Aiemann Zahabi,Pedro Munhoz,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,2,0,0,5.38,0.41,0.5,0.48,0.16,4,9,51,0,0,0,4,3,3,0,10,Orthodox,167.64,165.1,135,0,4,0,4.06,0.46,0.0,0.16,0.14,4,2,17,0,0,0,3,2,0,0,5,Orthodox,172.72,172.72,135,36,38,2,-4,0,5,7,34,0,1,3,-5.08,-7.62,2,1.32,0.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,1062.253626695715,1037.6724535501357
18,Charles Jourdain,Victor Henry,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,0,2,0,7.66,0.53,0.4,0.84,0.36,2,1,14,0,0,1,1,1,0,0,3,Switch,170.18,172.72,135,2,0,1,5.43,0.48,0.6,0.34,0.21,2,7,36,0,0,0,2,2,2,0,6,Switch,175.26,175.26,135,28,37,-2,2,0,-3,-6,-22,0,-1,-2,-5.08,-2.54,9,2.23,-0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,3:43,523.0,,,,,,,995.337795977058,1051.0738673088072
19,Jack Shore,Youssef Zalal,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Featherweight,MALE,3,0,2,1,2.84,0.49,1.5,2.34,0.35,3,3,24,0,0,0,3,0,2,0,5,Switch,177.8,182.88,145,1,0,0,3.6,0.58,0.6,3.22,0.39,5,2,20,0,0,1,2,0,3,0,6,Orthodox,172.72,180.34,145,29,28,-1,2,-2,-1,1,4,0,0,-1,5.08,2.54,-1,-0.76,0.9,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,2.0,0:59,359.0,,,,,,,1063.991562966082,1018.4796740663611
